FIPS,x,y,caves,WNS,tau,area,sr,Hibernate,MaherWNS
18113,876284.0378,485658.7887,0,Inf,225.6,1080.45,9,6,Inf
18115,946726.0372,218193.2666,0,Inf,203,221.383,13,9,Inf
18117,819293.6388,157740.2251,234,5,207.75,1055.79,13,10,6
18119,781746.7958,240322.75,74,Inf,215.375,1016.95,13,10,Inf
18121,746117.2728,289653.6051,2,Inf,213.25,1169.61,11,8,Inf
18123,811732.1664,105136.3525,9,Inf,191.5714286,1061.16,13,10,Inf
18125,757038.187,136043.1213,0,Inf,194.125,878.058,13,10,Inf
18127,739363.0287,478778.728,0,Inf,220.25,1101.92,9,6,Inf
18129,707133.8634,90236.673,0,Inf,178.4444444,916.767,13,10,Inf
18131,774426.2266,434815.811,0,Inf,226.7777778,1126.33,9,6,Inf
18133,777544.3328,280956.8817,13,Inf,219.3636364,1205.61,13,10,Inf
18135,925841.3367,351464.5794,0,Inf,220.4444444,1169.96,11,7,Inf
18137,917977.6006,230921.1828,20,Inf,204,1131.79,14,10,Inf
18139,894550.4242,287027.0043,0,Inf,215.25,1043.3,12,8,Inf
18141,801242.9367,502068.6086,0,Inf,229.7777778,1231.63,8,5,Inf
18143,882293.0949,180065.6147,1,Inf,222,526.266,13,10,Inf
18145,867574.8941,273751.9188,5,Inf,214.25,1042.64,13,9,Inf
18147,779923.9876,95208.61651,0,Inf,184.7777778,1022.75,13,10,Inf
18149,776139.2297,461934.2092,0,Inf,231.1666667,804.368,9,6,Inf
18151,907335.0252,516816.3177,0,Inf,244,828.691,9,6,Inf
18153,734843.4061,211839.2684,0,Inf,199.7,1151.42,13,10,Inf
18155,940106.9669,204132.7248,0,Inf,211.3333333,561.118,13,10,Inf
18157,764735.4693,359847.1228,4,Inf,221.8181818,1258.13,10,7,Inf
18159,837143.6324,358156.9392,0,Inf,222.8,621.612,9,6,Inf
18161,940126.8141,292719.0839,0,Inf,218.5,413.162,12,8,Inf
18163,730895.6925,92928.85349,4,Inf,173.3333333,556.495,13,10,Inf
18165,723174.0456,296720.3793,1,7,211.625,722.773,11,8,8
18167,733171.0795,249589.4611,0,Inf,199.7142857,1081.55,13,10,Inf
18169,851882.8312,420887.8659,4,Inf,184.5,1102.29,9,6,Inf
18171,727059.3901,352522.5577,0,Inf,220.5,924.055,10,7,Inf
18173,756556.9496,101199.4517,0,Inf,187.3333333,1009.49,13,10,Inf
18175,852578.3376,166850.2188,156,4,210.6666667,1297.73,13,10,5
18177,929696.6346,318640.978,0,Inf,216.7777778,1066.48,11,7,Inf
18179,900916.4789,413020.8501,0,Inf,221.1666667,959.622,9,6,Inf
18181,764422.8415,400583.4142,0,Inf,227.75,1249.22,9,6,Inf
18183,872622.2587,456114.4095,0,Inf,219.25,883.061,9,6,Inf
19001,126986.266,430250.3984,0,Inf,224.0833333,1478.09,8,5,Inf
19003,108480.1853,396201.3766,0,Inf,224.5,1101.43,8,5,Inf
19005,373344.3614,656695.7343,11,Inf,235.6153846,1730.74,7,4,Inf
19007,262184.1694,367745.4133,0,Inf,193.8333333,1340.25,9,6,Inf
19009,90533.79931,469280.7757,0,Inf,237.8571429,1156.53,8,5,Inf
19011,323282.0153,519768.2839,1,Inf,230.3333333,1869.22,8,5,Inf
19013,301448.6682,562494.1968,0,Inf,236.4444444,1489.41,8,5,Inf
19015,170072.923,510071.4145,1,Inf,229.2666667,1484.97,8,5,Inf
19017,299457.8078,596549.5272,1,Inf,234,1138.51,8,5,Inf
19019,339908.0839,564253.13,0,Inf,242.1,1479.86,8,5,Inf
19021,69101.36498,586670.6506,0,Inf,234,1503.35,7,4,Inf
19023,261248.8777,590353.2939,0,Inf,232.6153846,1506.16,7,4,Inf
19025,111222.1897,547998.3926,0,Inf,234.3571429,1482.87,8,5,Inf
19027,93702.77976,508725.7875,0,Inf,235.6666667,1477.78,8,5,Inf
19029,89040.95809,429814.8223,0,Inf,227,1463.21,8,5,Inf
19031,401562.3698,488938.8545,2,Inf,225.375,1505.88,8,5,Inf
19033,221799.7788,628251.483,0,Inf,239,1488.59,7,4,Inf
19035,30603.52628,586415.8111,0,Inf,240.3333333,1494.46,7,4,Inf
19037,298255.3583,628409.5791,0,Inf,246.8,1309.4,7,4,Inf
19039,184714.5667,397609.1596,0,Inf,231.3333333,1122.86,8,5,Inf
19041,68756.09296,625441.5105,0,Inf,239.6666667,1480.91,7,4,Inf
19043,377722.9834,608121.4155,72,Inf,239.1111111,1990.27,8,5,Inf
19045,449940.6531,506048.3417,5,Inf,232.3571429,1783.9,9,5,Inf
19047,50802.81153,508447.4293,0,Inf,234.4166667,1852.77,8,5,Inf
19049,161991.3163,470700.0523,0,Inf,222.2222222,1521.96,8,5,Inf
19051,300551.9142,369631.7911,0,Inf,215.5555556,1307.1,9,6,Inf
19053,185363.9584,364957.3037,0,Inf,226,1377.73,8,5,Inf
19055,378363.6464,566044.3975,15,Inf,241.4545455,1507.75,8,5,Inf
19057,401697.7227,393845.7317,5,8,212.7142857,1150.75,9,6,9
19059,68456.21367,658412.1491,0,Inf,239.6666667,1045.78,7,4,Inf
19061,417940.1829,568199.4883,47,Inf,232.6153846,1631.71,8,5,Inf
19063,106558.2469,658867.5186,0,Inf,240,1042.06,7,4,Inf
19065,337558.7205,607951.0768,15,Inf,242.75,1896.16,8,5,Inf
19067,260077.106,627031.1,5,Inf,235.8,1299.13,7,4,Inf
19069,222819.1116,589257.0314,0,Inf,229.7777778,1511.18,7,4,Inf
19071,33441.39499,363801.6242,0,Inf,219.1111111,1314.7,8,5,Inf
